-0.1513,-0.1178,-19.488270198,-10.5804,-0.9689,46.2965,2018-01-19 06:15:16.148Z,Ax = -0.0010	Ay = -0.0019	Az = -0.2779	ypr = (46.2965   -0.9689   -10.5804)
-0.2850,-0.0827,-19.557332811,-10.2879,-0.7844,45.9474,2018-01-19 06:15:16.245Z,Ax = -0.0027	Ay = -0.0012	Az = -0.2772	ypr = (45.9474   -0.7844   -10.2879)
-0.4138,-0.0819,-19.764363809,-10.0057,-0.2882,45.8811,2018-01-19 06:15:16.346Z,Ax = -0.0050	Ay = -0.0011	Az = -0.2788	ypr = (45.8811   -0.2882   -10.0057)
-0.1727,-0.0973,-19.691743311,-9.7673,-0.6170,45.7147,2018-01-19 06:15:16.448Z,Ax = -0.0044	Ay = -0.0012	Az = -0.2800	ypr = (45.7147   -0.6170   -9.7673)
-0.1216,-0.0862,-19.666762929,-9.9271,-0.7151,45.8220,2018-01-19 06:15:16.548Z,Ax = -0.0031	Ay = -0.0013	Az = -0.2804	ypr = (45.8220   -0.7151   -9.9271)
-0.1489,-0.0735,-19.617720879,-10.1179,-0.9296,45.9114,2018-01-19 06:15:16.647Z,Ax = -0.0016	Ay = -0.0012	Az = -0.2792	ypr = (45.9114   -0.9296   -10.1179)
-0.2210,-0.1955,-19.936762117,-11.2676,-0.7403,45.9237,2018-01-19 06:15:16.748Z,Ax = -0.0020	Ay = -0.0020	Az = -0.2809	ypr = (45.9237   -0.7403   -11.2676)
-0.1866,-0.0256,-20.042309827,-11.7722,-1.1829,45.5789,2018-01-19 06:15:16.846Z,Ax = -0.0027	Ay = -0.0012	Az = -0.2832	ypr = (45.5789   -1.1829   -11.7722)
-0.2826,0.0219,-19.429888317,-11.6553,-0.6686,45.6750,2018-01-19 06:15:16.947Z,Ax = -0.0037	Ay = -0.0006	Az = -0.2806	ypr = (45.6750   -0.6686   -11.6553)
-0.2722,-0.0441,-20.009399457,-11.7434,-0.6524,45.7295,2018-01-19 06:15:17.046Z,Ax = -0.0038	Ay = -0.0001	Az = -0.2823	ypr = (45.7295   -0.6524   -11.7434)
-0.0257,-0.0010,-19.970147635,-9.1555,-1.2609,44.8743,2018-01-19 06:15:17.148Z,Ax = -0.0022	Ay = 0.0003	Az = -0.2816	ypr = (44.8743   -1.2609   -9.1555)
-0.2943,-0.0274,-19.367321384,-4.7129,-0.7588,46.2194,2018-01-19 06:15:17.247Z,Ax = -0.0030	Ay = -0.0003	Az = -0.2793	ypr = (46.2194   -0.7588   -4.7129)
0.7239,-0.7884,-19.609266406,-4.7989,-3.1285,44.3152,2018-01-19 06:15:17.347Z,Ax = 0.0045	Ay = -0.0061	Az = -0.2790	ypr = (44.3152   -3.1285   -4.7989)
-0.2104,0.0625,-19.467217837,-1.9381,-0.4466,45.7727,2018-01-19 06:15:17.448Z,Ax = 0.0013	Ay = -0.0034	Az = -0.2757	ypr = (45.7727   -0.4466   -1.9381)
-0.2675,0.0094,-19.090737718,3.1122,0.7969,46.7643,2018-01-19 06:15:17.547Z,Ax = 0.0002	Ay = -0.0029	Az = -0.2731	ypr = (46.7643   0.7969   3.1122)
-1.0720,0.2518,-19.878920362,-2.8513,0.5213,45.6857,2018-01-19 06:15:17.646Z,Ax = -0.0101	Ay = 0.0026	Az = -0.2779	ypr = (45.6857   0.5213   -2.8513)
-0.5163,-0.2848,-19.559338155,-3.7056,0.1336,43.8890,2018-01-19 06:15:17.744Z,Ax = -0.0115	Ay = 0.0006	Az = -0.2777	ypr = (43.8890   0.1336   -3.7056)
-0.6471,-0.0097,-19.452898816,-3.0032,0.3443,44.6833,2018-01-19 06:15:17.844Z,Ax = -0.0116	Ay = -0.0003	Az = -0.2786	ypr = (44.6833   0.3443   -3.0032)
-0.4494,0.0116,-19.353284374,-1.7067,0.1961,45.2633,2018-01-19 06:15:17.945Z,Ax = -0.0073	Ay = -0.0016	Az = -0.2765	ypr = (45.2633   0.1961   -1.7067)
-0.5639,-0.1059,-19.678399994,-1.3575,-0.7833,45.2832,2018-01-19 06:15:18.045Z,Ax = -0.0068	Ay = -0.0011	Az = -0.2768	ypr = (45.2832   -0.7833   -1.3575)
-0.2477,0.0928,-19.290810117,-1.5186,-0.7714,45.5745,2018-01-19 06:15:18.147Z,Ax = -0.0051	Ay = 0.0008	Az = -0.2753	ypr = (45.5745   -0.7714   -1.5186)
-0.1205,0.3717,-18.961480385,1.1015,-2.2789,45.2329,2018-01-19 06:15:18.246Z,Ax = -0.0033	Ay = 0.0029	Az = -0.2730	ypr = (45.2329   -2.2789   1.1015)
-0.0339,-0.3939,-19.493339610,2.3554,-2.0180,45.7700,2018-01-19 06:15:18.347Z,Ax = -0.0007	Ay = -0.0009	Az = -0.2737	ypr = (45.7700   -2.0180   2.3554)
-0.1056,0.0274,-19.368884121,2.5169,-1.3097,46.4644,2018-01-19 06:15:18.445Z,Ax = -0.0003	Ay = -0.0000	Az = -0.2734	ypr = (46.4644   -1.3097   2.5169)
0.0196,-0.1698,-18.278762189,3.4606,-2.5749,45.4554,2018-01-19 06:15:18.549Z,Ax = -0.0000	Ay = -0.0031	Az = -0.2677	ypr = (45.4554   -2.5749   3.4606)
0.2605,-0.1452,-19.391080667,2.1704,-2.4630,45.3547,2018-01-19 06:15:18.646Z,Ax = 0.0017	Ay = -0.0024	Az = -0.2708	ypr = (45.3547   -2.4630   2.1704)
0.1617,-0.7126,-20.107522939,0.3093,-3.3264,45.0103,2018-01-19 06:15:18.746Z,Ax = 0.0027	Ay = -0.0061	Az = -0.2760	ypr = (45.0103   -3.3264   0.3093)
0.4324,-0.3250,-20.295823599,1.2847,-2.9475,45.3589,2018-01-19 06:15:18.848Z,Ax = 0.0053	Ay = -0.0062	Az = -0.2861	ypr = (45.3589   -2.9475   1.2847)
-0.3228,-0.0361,-18.703557080,1.9658,-0.7123,44.9735,2018-01-19 06:15:18.946Z,Ax = 0.0002	Ay = -0.0046	Az = -0.2800	ypr = (44.9735   -0.7123   1.9658)
-0.3485,0.0023,-19.532891845,1.4964,-0.3826,44.6163,2018-01-19 06:15:19.048Z,Ax = -0.0030	Ay = -0.0009	Az = -0.2769	ypr = (44.6163   -0.3826   1.4964)
-0.4867,0.0918,-18.937503065,1.3529,-0.1909,44.7108,2018-01-19 06:15:19.148Z,Ax = -0.0073	Ay = 0.0021	Az = -0.2675	ypr = (44.7108   -0.1909   1.3529)
-0.1949,0.1214,-19.256869041,1.8236,-0.6646,45.0812,2018-01-19 06:15:19.247Z,Ax = -0.0059	Ay = 0.0021	Az = -0.2712	ypr = (45.0812   -0.6646   1.8236)
-0.3930,-0.0037,-19.004822372,1.3562,-0.8113,45.0990,2018-01-19 06:15:19.346Z,Ax = -0.0052	Ay = 0.0008	Az = -0.2715	ypr = (45.0990   -0.8113   1.3562)
-0.6513,-0.0142,-19.149192343,0.7676,0.0159,45.3495,2018-01-19 06:15:19.447Z,Ax = -0.0065	Ay = 0.0002	Az = -0.2716	ypr = (45.3495   0.0159   0.7676)
-0.3792,0.0464,-19.586301313,1.1830,-0.2300,45.6836,2018-01-19 06:15:19.546Z,Ax = -0.0067	Ay = 0.0001	Az = -0.2745	ypr = (45.6836   -0.2300   1.1830)
-0.2718,0.2339,-19.045729980,1.3389,-0.0627,45.8698,2018-01-19 06:15:19.646Z,Ax = -0.0061	Ay = 0.0017	Az = -0.2734	ypr = (45.8698   -0.0627   1.3389)
-0.4647,0.1132,-19.112130769,1.2946,-0.4103,45.7424,2018-01-19 06:15:19.750Z,Ax = -0.0054	Ay = 0.0022	Az = -0.2734	ypr = (45.7424   -0.4103   1.2946)
-0.4517,0.1495,-19.257840409,2.9394,-0.4024,45.8903,2018-01-19 06:15:19.844Z,Ax = -0.0053	Ay = 0.0027	Az = -0.2720	ypr = (45.8903   -0.4024   2.9394)
-0.2846,0.5370,-19.400623695,3.1021,-0.9404,45.9202,2018-01-19 06:15:19.949Z,Ax = -0.0054	Ay = 0.0050	Az = -0.2734	ypr = (45.9202   -0.9404   3.1021)
0.2056,0.6893,-18.732795349,3.9013,-2.8029,46.0022,2018-01-19 06:15:20.050Z,Ax = -0.0012	Ay = 0.0079	Az = -0.2707	ypr = (46.0022   -2.8029   3.9013)
-0.0190,-0.0558,-19.872459441,3.6627,-3.5280,46.8557,2018-01-19 06:15:20.146Z,Ax = 0.0008	Ay = 0.0049	Az = -0.2767	ypr = (46.8557   -3.5280   3.6627)
0.3267,-0.6221,-19.393351927,3.9101,-4.4587,47.1464,2018-01-19 06:15:20.248Z,Ax = 0.0043	Ay = -0.0025	Az = -0.2752	ypr = (47.1464   -4.4587   3.9101)
-0.4113,-0.6252,-18.077435066,5.6749,-2.9810,47.0809,2018-01-19 06:15:20.347Z,Ax = -0.0012	Ay = -0.0094	Az = -0.2678	ypr = (47.0809   -2.9810   5.6749)
0.2967,-1.0233,-19.122592089,3.8767,-4.1198,46.5855,2018-01-19 06:15:20.449Z,Ax = 0.0011	Ay = -0.0148	Az = -0.2680	ypr = (46.5855   -4.1198   3.8767)
0.0052,-0.2885,-18.235087212,2.9235,-3.8275,46.7162,2018-01-19 06:15:20.548Z,Ax = -0.0005	Ay = -0.0093	Az = -0.2593	ypr = (46.7162   -3.8275   2.9235)
0.5438,-0.8950,-18.727875124,2.6557,-5.0948,46.9023,2018-01-19 06:15:20.645Z,Ax = 0.0051	Ay = -0.0106	Az = -0.2639	ypr = (46.9023   -5.0948   2.6557)
0.5867,-1.2296,-18.921620316,3.4192,-3.8017,47.1141,2018-01-19 06:15:20.747Z,Ax = 0.0076	Ay = -0.0130	Az = -0.2667	ypr = (47.1141   -3.8017   3.4192)
0.3395,-0.7223,-18.374217487,5.3508,-2.3017,47.5345,2018-01-19 06:15:20.846Z,Ax = 0.0073	Ay = -0.0132	Az = -0.2643	ypr = (47.5345   -2.3017   5.3508)
0.1760,-0.8002,-18.973532389,5.5597,-1.4063,47.9411,2018-01-19 06:15:20.948Z,Ax = 0.0049	Ay = -0.0136	Az = -0.2673	ypr = (47.9411   -1.4063   5.5597)
0.2551,-0.4918,-19.716599003,5.0439,-1.3835,47.4667,2018-01-19 06:15:21.047Z,Ax = 0.0030	Ay = -0.0085	Az = -0.2733	ypr = (47.4667   -1.3835   5.0439)
-0.0708,-0.5358,-19.511239839,4.5523,-0.5992,47.2650,2018-01-19 06:15:21.146Z,Ax = 0.0001	Ay = -0.0069	Az = -0.2775	ypr = (47.2650   -0.5992   4.5523)
0.1298,0.2949,-19.411309965,1.3752,0.2294,46.7291,2018-01-19 06:15:21.248Z,Ax = 0.0010	Ay = -0.0007	Az = -0.2796	ypr = (46.7291   0.2294   1.3752)
0.5345,-1.9843,-18.181892123,-19.9052,-3.9085,46.0680,2018-01-19 06:15:21.347Z,Ax = 0.0040	Ay = -0.0142	Az = -0.2678	ypr = (46.0680   -3.9085   -19.9052)
-0.9558,-6.2045,-17.072829505,-43.4291,-10.7374,46.0692,2018-01-19 06:15:21.444Z,Ax = -0.0044	Ay = -0.0537	Az = -0.2513	ypr = (46.0692   -10.7374   -43.4291)
-1.6334,-7.0951,-19.728724959,-66.8555,-10.6996,42.3664,2018-01-19 06:15:21.546Z,Ax = -0.0147	Ay = -0.0911	Az = -0.2610	ypr = (42.3664   -10.6996   -66.8555)
